id,category,breed_name,origin,temperament,coat_care,ideal_weight_guide,key_strengths,potential_health_risks
dog-001,Dogs,Labrador Retriever,カナダのニューファンドランドでは、19 世紀にイギリスでスポーツ犬や回収犬としてさらに発展しました。,フレンドリーで、社交的で、エネルギーが高く、喜ばせることに熱心です。家族や子供連れに最適で、非常にトレーニングしやすいです。,短いダブルコートで、特に季節的に抜け毛が多くなります。ブラッシングは毎週、換毛期にはさらに行います。時々入浴。,男性: 29 ～ 36 kg (65 ～ 80 ポンド)。女性: 25 ～ 32 kg (55 ～ 70 ポンド)。,多用途な作業能力、強い回収本能、穏やかな気質、子供や他のペットとの相性が良い。,股関節および肘の形成不全、肥満、運動による虚脱、耳の感染症、進行性網膜萎縮。
dog-002,Dogs,German Shepherd,19世紀後半のドイツでは、もともと羊の群れと番をするために飼育されていました。,自信があり、知的で、忠実で、保護的です。しっかりとしたトレーニングと十分な精神的刺激が必要です。,抜け毛が多いミディアムレングスのダブルコート。週に 2 ～ 3 回、季節的な「吹き出し」の間は毎日ブラッシングしてください。,男性: 30 ～ 40 kg (66 ～ 88 ポンド)。女性: 22 ～ 32 kg (49 ～ 71 ポンド)。,訓練性、警察/奉仕活動の多用途性、強い保護本能、高い知能。,股関節および肘の形成不全、変性性脊髄症、膨満感（GDV）、膵外分泌機能不全。
dog-003,Dogs,Golden Retriever,19世紀半ばのスコットランドで、水鳥を回収するための銃猟犬として飼育されていた。,優しく、フレンドリーで、寛容で、非常に社交的です。素晴らしい家族犬であり、セラピー犬でもあります。,撥水性の長いダブルコートなので、週に2～3回のブラッシングと定期的な耳掃除が必要です。,男性: 29 ～ 34 kg (65 ～ 75 ポンド)。女性: 25 ～ 29 kg (55 ～ 65 ポンド)。,訓練能力、子供に対する忍耐力、強い回収意欲、治療/サービスの役割への適応性。,がん（特に血管肉腫とリンパ腫）、股関節/肘形成異常、大動脈弁膜下狭窄、甲状腺機能低下症。
dog-004,Dogs,French Bulldog,19世紀のフランスは、レース職人によって持ち込まれたイングリッシュ・ブルドッグから発展しました。,愛情深く、遊び好きで、順応性があり、比較的エネルギーが低い。アパート暮らしに最適です。,短く滑らかなシングルコートで、抜け毛が最小限に抑えられています。毎週の拭き掃除と顔の皮膚のひだへの注意。,男女とも 8 ～ 13 kg (17 ～ 28 ポンド)。,コンパクトなサイズ、少ない運動量、社交的で愛情深い性質、最低限の身だしなみ。,短頭種気道症候群、脊椎疾患（半脊椎）、皮膚ひだ皮膚炎、熱不耐症。
dog-005,Dogs,Standard Poodle,ドイツ（フランスで発展が著しい）、元々はウォーターレトリーバーでした。,非常に知的で、活動的で、人を喜ばせることに熱心で、気質はエレガントです。,密で縮れた低刺激性の被毛には、4～6週間ごとの専門的なグルーミングと毎日のブラッシングが必要です。,20 ～ 32 kg (45 ～ 70 ポンド)、身長によって異なります。,トレーニング性、低刺激性のコート、スポーツやサービス業での多用途性、長寿命。,アジソン病、胃拡張捻転（膨満）、股関節形成不全、進行性網膜萎縮症。
dog-006,Dogs,Beagle,イギリスは香りを使ったウサギ狩りのために発展し、そのルーツは古代ギリシャにまで遡ります。,好奇心旺盛で、フレンドリーで、陽気で、香りに動かされます。トレーニング中は頑固になる可能性があります。,短くて密な被毛は適度に抜けます。毎週のブラッシングで十分です。,男女とも9～11kg（20～25ポンド）。,卓越した香りの追跡、人や犬との社交性、コンパクトなサイズ、グルーミングの必要性の低さ。,肥満、甲状腺機能低下症、耳の感染症（耳が長いため）、椎間板疾患、てんかん。
dog-007,Dogs,Siberian Husky,シベリア北東部に生息し、チュクチ族によってそり犬として飼育されていました。,精力的、独立心があり、友好的で、放浪癖がありやすい。強力な封じ込めと運動が必要です。,厚いダブルコート、季節ごとの抜け毛が多い。週に2〜3回、コートブロー中に毎日ブラッシングしてください。,男性: 20 ～ 27 kg (45 ～ 60 ポンド)。女性: 16 ～ 23 kg (35 ～ 50 ポンド)。,持久力、耐寒性、群れでの社交性、そりや作業の役割における効率的なエネルギー使用。,股関節形成不全、進行性網膜萎縮、白内障、甲状腺機能低下症、亜鉛反応性皮膚症。
dog-008,Dogs,Chihuahua,古代テチチ犬の祖先を持つチワワ州にちなんで名付けられたメキシコ。,警戒心が強く、忠実で、時には勇敢で、多くの場合、1 人の相手と強い絆で結ばれます。,スムースまたはロングコートのバリエーション。スムースには毎週のブラッシングと、週に2〜3回のロングコートが必要です。,男女とも 1.5​​ ～ 3 kg (3 ～ 6 ポンド)。,アパートに最適な小型サイズ、長寿命、強力な番犬の警戒心、食事や運動の必要性が低い。,膝蓋骨脱臼、歯の密集、水頭症、気管虚脱、おもちゃサイズの低血糖。
dog-009,Dogs,Dachshund,17 世紀のドイツでは、アナグマやその他の穴を掘る動物を狩るために飼育されていました。,大胆で、好奇心旺盛で、頑固で遊び心があり、強い獲物への欲求を持っています。,滑らかな、ワイヤー状、または長い髪のバリエーション。スムースには最小限のケアが必要ですが、ワイヤー/ロングは毎週のブラッシングが必要です。,標準: 7 ～ 15 kg (16 ～ 32 ポンド)。ミニチュア: 5 kg (11 ポンド) 未満。,粘り強さ、強い穴掘り/狩猟本能、アパート生活への適応性、独特の忠誠心。,長い背骨、肥満、膝蓋骨脱臼、進行性網膜萎縮による椎間板疾患。
dog-010,Dogs,Border Collie,スコットランドとイングランドの国境地域で、羊の牧畜のために飼育されている。,非常に知的で、精力的で、集中力があり、反応が早い。継続的な精神的な取り組みが必要です。,ミディアムダブルコート、中程度から重度の抜け毛。週に2〜3回ブラッシングしてください。,男女とも 14 ～ 20 kg (30 ～ 45 ポンド)。,トップレベルの訓練性、群集本能、敏捷性パフォーマンス、問題解決能力。,コリーの目の異常、股関節形成不全、てんかん、運動誘発性の神経学的エピソード。
