id,category,breed_name,origin,temperament,coat_care,ideal_weight_guide,key_strengths,potential_health_risks
dog-001,Dogs,Labrador Retriever,"Newfoundland, Canada, developed further in England during the 19th century as a sporting and retrieving dog.","Friendly, outgoing, high-energy, and eager to please. Excellent with families and children, and highly trainable.","Short double coat that sheds heavily, especially seasonally. Weekly brushing, more during shedding season; occasional bathing.",Males: 29-36 kg (65-80 lb); Females: 25-32 kg (55-70 lb).,"Versatile working ability, strong retrieving instinct, gentle temperament, good with children and other pets.","Hip and elbow dysplasia, obesity, exercise-induced collapse, ear infections, progressive retinal atrophy."
dog-002,Dogs,German Shepherd,"Germany, late 19th century, originally bred for herding and guarding sheep.","Confident, intelligent, loyal, and protective. Requires firm training and ample mental stimulation.","Medium-length double coat with heavy shedding; brush 2-3 times weekly, daily during seasonal 'blowout'.",Males: 30-40 kg (66-88 lb); Females: 22-32 kg (49-71 lb).,"Trainability, versatility for police/service work, strong protective instinct, high intelligence.","Hip and elbow dysplasia, degenerative myelopathy, bloat (GDV), exocrine pancreatic insufficiency."
dog-003,Dogs,Golden Retriever,"Scotland, mid-19th century, bred as a gundog for retrieving waterfowl.","Gentle, friendly, tolerant, and highly sociable. Excellent family and therapy dog.","Long, water-repellent double coat requiring brushing 2-3 times weekly and regular ear cleaning.",Males: 29-34 kg (65-75 lb); Females: 25-29 kg (55-65 lb).,"Trainability, patience with children, strong retrieving drive, adaptability to therapy/service roles.","Cancer (notably hemangiosarcoma and lymphoma), hip/elbow dysplasia, subvalvular aortic stenosis, hypothyroidism."
dog-004,Dogs,French Bulldog,"France, 19th century, developed from English Bulldogs brought over by lace workers.","Affectionate, playful, adaptable, and relatively low-energy. Good for apartment living.","Short, smooth, single coat with minimal shedding; weekly wipe-down and attention to facial skin folds.",8-13 kg (17-28 lb) for both sexes.,"Compact size, low exercise needs, sociable and affectionate nature, minimal grooming.","Brachycephalic airway syndrome, spinal disorders (hemivertebrae), skin fold dermatitis, heat intolerance."
dog-005,Dogs,Standard Poodle,"Germany (with strong development in France), originally a water retriever.","Highly intelligent, active, eager to please, and elegant in temperament.","Dense, curly, hypoallergenic-leaning coat requiring professional grooming every 4-6 weeks and daily brushing.","20-32 kg (45-70 lb), varies with height.","Trainability, hypoallergenic coat, versatility in sports and service work, longevity.","Addison's disease, gastric dilatation-volvulus (bloat), hip dysplasia, progressive retinal atrophy."
dog-006,Dogs,Beagle,"England, developed for scent-based hare hunting, with roots tracing to ancient Greece.","Curious, friendly, merry, and driven by scent. Can be stubborn during training.","Short, dense coat with moderate shedding; weekly brushing sufficient.",9-11 kg (20-25 lb) for both sexes.,"Exceptional scent tracking, sociable with people and dogs, compact size, low grooming needs.","Obesity, hypothyroidism, ear infections (due to long ears), intervertebral disc disease, epilepsy."
dog-007,Dogs,Siberian Husky,"Northeastern Siberia, bred by the Chukchi people as a sled dog.","Energetic, independent, friendly, and prone to wanderlust. Needs strong containment and exercise.","Thick double coat, heavy seasonal shedding; brush 2-3 times weekly, daily during coat blow.",Males: 20-27 kg (45-60 lb); Females: 16-23 kg (35-50 lb).,"Endurance, cold tolerance, pack sociability, efficient energy use for sledding/working roles.","Hip dysplasia, progressive retinal atrophy, cataracts, hypothyroidism, zinc-responsive dermatosis."
dog-008,Dogs,Chihuahua,"Mexico, named after the state of Chihuahua, with ancient Techichi dog ancestry.","Alert, loyal, sometimes feisty, and often bonds intensely with one person.","Smooth or long coat variants; smooth needs weekly brushing, long coat 2-3 times weekly.",1.5-3 kg (3-6 lb) for both sexes.,"Small size ideal for apartments, long lifespan, strong watchdog alertness, low food/exercise needs.","Patellar luxation, dental crowding, hydrocephalus, tracheal collapse, hypoglycemia in toy sizes."
dog-009,Dogs,Dachshund,"Germany, 17th century, bred to hunt badgers and other burrowing animals.","Bold, curious, stubborn, and playful, with a strong prey drive.","Smooth, wire, or longhaired variants; smooth needs minimal care, wire/long need weekly brushing.",Standard: 7-15 kg (16-32 lb); Miniature: under 5 kg (11 lb).,"Tenacity, strong burrowing/hunting instinct, adaptability to apartment life, distinctive loyalty.","Intervertebral disc disease due to long spine, obesity, patellar luxation, progressive retinal atrophy."
dog-010,Dogs,Border Collie,"Border region between Scotland and England, bred for herding sheep.","Extremely intelligent, energetic, focused, and responsive; needs constant mental engagement.","Medium double coat, moderate to heavy shedding; brush 2-3 times weekly.",14-20 kg (30-45 lb) for both sexes.,"Top-tier trainability, herding instinct, agility performance, problem-solving ability.","Collie eye anomaly, hip dysplasia, epilepsy, exercise-induced neurological episodes."
dog-011,Dogs,Rottweiler,"Germany, descended from Roman drover dogs, used historically to herd and pull carts.","Confident, calm, protective, and loyal, needing early socialization and structured training.","Short, dense double coat with moderate shedding; weekly brushing.",Males: 50-60 kg (110-132 lb); Females: 35-48 kg (77-106 lb).,"Guarding ability, strength and stamina, trainability for working roles, deep loyalty to family.","Hip and elbow dysplasia, osteosarcoma, subaortic stenosis, bloat (GDV)."
dog-012,Dogs,Shih Tzu,"Tibet/China, bred as a companion dog for royalty.","Affectionate, outgoing, and friendly; well suited to companionship over high activity.","Long, flowing double coat requiring daily brushing or a shorter 'puppy cut' with monthly trims.",4-7 kg (9-16 lb) for both sexes.,"Compact companion size, minimal exercise requirement, affectionate temperament, adaptability indoors.","Brachycephalic airway issues, eye ulcers, dental crowding, hip dysplasia, portosystemic shunt."
cat-001,Cats,Persian,"Persia (modern-day Iran), one of the oldest known cat breeds.","Calm, gentle, and affectionate; prefers quiet, predictable environments.","Long, dense coat requiring daily brushing to prevent matting; regular face cleaning around eyes.",3.5-5.5 kg (8-12 lb) for both sexes.,"Calm indoor companionship, low activity needs, tolerant of handling, striking appearance.","Polycystic kidney disease, brachycephalic breathing issues, dental malocclusion, tear duct overflow."
cat-002,Cats,Maine Coon,"United States (Maine), one of the oldest natural breeds in North America.","Sociable, playful, gentle giant personality; good with children and dogs.","Long, shaggy, water-resistant coat; brush 2-3 times weekly to prevent tangles.",Males: 5.9-8.2 kg (13-18 lb); Females: 3.6-5.4 kg (8-12 lb).,"Large size with dog-like sociability, cold tolerance, good hunting instinct, adaptable temperament.","Hypertrophic cardiomyopathy, hip dysplasia, spinal muscular atrophy, obesity due to large frame."
