id,category,breed_name,origin,temperament,coat_care,ideal_weight_guide,key_strengths,potential_health_risks
dog-001,Dogs,Labrador Retriever,ကနေဒါနိုင်ငံ၊ Newfoundland သည် 19 ရာစုအတွင်း အင်္ဂလန်တွင် အားကစားနှင့် ခွေးကို ပြန်လည်ရယူခြင်းအဖြစ် ပိုမိုဖွံ့ဖြိုးလာခဲ့သည်။,ဖော်ရွေသော၊ အထွက်၊ စွမ်းအင်မြင့်မားပြီး နှစ်သက်လိုစိတ်ပြင်းပြသည်။ မိသားစုများနှင့် ကလေးများအတွက် အထူးကောင်းမွန်ပြီး လေ့ကျင့်သင်ကြားပေးနိုင်သူ။,အထူးသဖြင့် ရာသီအလိုက် ကြွေကျသော နှစ်ထပ်အင်္ကျီအတို။ အပတ်စဉ်ဖြီးသည်၊ သွန်းသောရာသီတွင် ပို၍၊ ရံဖန်ရံခါ ရေချိုးခြင်း။,အထီးများ: 29-36 ကီလိုဂရမ် (65-80 ပေါင်); အမျိုးသမီး : 25-32 ကီလိုဂရမ် (55-70 ပေါင်)။,စွယ်စုံရအလုပ်လုပ်နိုင်စွမ်း၊ ပြင်းထန်သောဗီဇကိုပြန်လည်ရယူခြင်း၊ နူးညံ့သိမ်မွေ့သောစိတ်ထား၊ ကလေးများနှင့် အခြားအိမ်မွေးတိရစ္ဆာန်များနှင့် ကောင်းမွန်စွာဆက်ဆံခြင်း။,တင်ပါးဆုံရိုးနှင့် တံတောင်ဆစ်များ ပျက်စီးခြင်း၊ အဝလွန်ခြင်း၊ လေ့ကျင့်ခန်းလုပ်ခြင်းကြောင့် ပြိုကျခြင်း၊ နားပိုးဝင်ခြင်း၊ တိုးတက်သော မျက်စိမှုန်ခြင်း
dog-002,Dogs,German Shepherd,19 ရာစုနှောင်းပိုင်းတွင် ဂျာမနီသည် မူလက သိုးများကို ထိန်းကျောင်းရန်နှင့် စောင့်ကြပ်ရန် မျိုးပေါက်ခဲ့သည်။,ယုံကြည်ချက်၊ ထက်မြက်မှု၊ သစ္စာရှိမှု၊ ကာကွယ်မှု။ ခိုင်မာသော လေ့ကျင့်မှုနှင့် လုံလောက်သော စိတ်ပိုင်းဆိုင်ရာ လှုံ့ဆော်မှု လိုအပ်သည်။,လေးလံသောသွန်းလောင်းခြင်းနှင့်အလတ်စားအရှည်နှစ်ထပ်အင်္ကျီ; ရာသီအလိုက် 'မှုတ်ထုတ်ခြင်း' တွင် အပတ်စဉ် 2-3 ကြိမ် နေ့စဉ် ဖြီးပါ။,အထီးများ- 30-40 ကီလိုဂရမ် (66-88 ပေါင်); အမျိုးသမီး : 22-32 ကီလိုဂရမ် (49-71 ပေါင်)။,လေ့ကျင့်နိုင်မှု၊ ရဲ/ဝန်ဆောင်မှုလုပ်ငန်းအတွက် ဘက်စုံအသုံးပြုနိုင်မှု၊ ခိုင်မာသောအကာအကွယ်ဗီဇ၊ ဉာဏ်ရည်မြင့်မားသည်။,တင်ပါးနှင့်တံတောင်ဆစ် dysplasia၊ degenerative myelopathy၊ bloat (GDV)၊ exocrine ပန်ကရိယမလုံလောက်ခြင်း။
dog-003,Dogs,Golden Retriever,၁၉ ရာစုအလယ်ပိုင်း၊ စကော့တလန်သည် ရေငှက်များကို ပြန်လည်ရယူရန်အတွက် သေနတ်ခွေးအဖြစ် မွေးမြူခဲ့သည်။,နူးညံ့သိမ်မွေ့ခြင်း၊ ဖော်ရွေခြင်း၊ သည်းခံခြင်းနှင့် ပေါင်းသင်းဆက်ဆံတတ်ခြင်း။ မိသားစုနှင့် ကုသရေးခွေးကောင်း။,ရှည်လျားပြီး ရေစိုခံနိုင်သော double coat သည် တစ်ပတ်လျှင် 2-3 ကြိမ်နှင့် ပုံမှန် နားသန့်ရှင်းရေး ပြုလုပ်ရန် လိုအပ်ပါသည်။,အထီးများ: 29-34 ကီလိုဂရမ် (65-75 ပေါင်); အမျိုးသမီး : 25-29 ကီလိုဂရမ် (55-65 ပေါင်)။,လေ့ကျင့်သင်ကြားနိုင်မှု၊ ကလေးများကို စိတ်ရှည်သည်းခံမှု၊ ပြင်းထန်သော တွန်းအားပြန်လည်ရယူမှု၊ ကုထုံး/ဝန်ဆောင်မှုကဏ္ဍများအတွက် လိုက်လျောညီထွေရှိမှု။,ကင်ဆာ (အထူးသဖြင့် hemangiosarcoma နှင့် lymphoma)၊ တင်ပါးဆုံ/တံတောင်ဆစ် dysplasia၊ subvalvular aortic stenosis၊ hypothyroidism။
dog-004,Dogs,French Bulldog,ပြင်သစ်၊ 19 ရာစုတွင် ဇာသမားများက ယူဆောင်လာသော English Bulldogs မှ တီထွင်ခဲ့သည်။,ချစ်ခင်ကြင်နာတတ်သူ၊ အပျော်သဘော၊ လိုက်လျောညီထွေ လိုက်လျောညီထွေဖြစ်ပြီး စွမ်းအင်နည်းပါးသည်။ တိုက်ခန်းနေထိုင်ရန်ကောင်းမွန်သည်။,တိုတောင်းသော၊ ချောမွေ့သော၊ တစ်ခုတည်းသောအင်္ကျီ၊ အပတ်စဉ် သုတ်လိမ်းပြီး မျက်နှာအသားအရည်ကို ဂရုစိုက်ပါ။,လိင်နှစ်မျိုးလုံးအတွက် 8-13 ကီလိုဂရမ် (17-28 ပေါင်)။,ကျစ်လစ်သောအရွယ်အစား၊ လေ့ကျင့်ခန်းလိုအပ်ချက်နည်းပါးခြင်း၊ ပေါင်းသင်းဆက်ဆံရေးကောင်းမွန်ပြီး ချစ်ခင်ကြင်နာတတ်ခြင်း၊ ပြုစုပျိုးထောင်မှုအနည်းဆုံး။,Brachycephalic အသက်ရှူလမ်းကြောင်းဆိုင်ရာရောဂါ၊ ကျောရိုးပုံမမှန်မှုများ (hemivertebrae)၊ အရေပြားခေါက်အရေပြားရောင်ရမ်းခြင်း၊ အပူဒဏ်မခံနိုင်ခြင်း။
dog-005,Dogs,Standard Poodle,ဂျာမနီ (ပြင်သစ်တွင် ခိုင်မာသော ဖွံ့ဖြိုးတိုးတက်မှုနှင့်အတူ) မူလက ရေပြန်ယူသူဖြစ်သည်။,ဉာဏ်ရည်ထက်မြက်မှု၊ တက်ကြွမှု၊ စိတ်အားထက်သန်မှု၊ စိတ်ထားပြေပြစ်သူ။,4-6 ပတ်တစ်ကြိမ် ပရော်ဖက်ရှင်နယ် လိမ်းကျံခြင်းနှင့် နေ့စဉ် ပွတ်တိုက်ရန် လိုအပ်သော ပါးလွှာသော၊ တွန့်ကာ၊ hypoallergenic-ယိမ်းအင်္ကျီ။,20-32 ကီလိုဂရမ် (45-70 ပေါင်)၊ အရပ်နှင့်ကွဲပြားသည်။,လေ့ကျင့်နိုင်မှု၊ hypoallergenic အင်္ကျီ၊ အားကစားနှင့် ဝန်ဆောင်မှုလုပ်ငန်းတွင် စွယ်စုံရနိုင်မှု၊ အသက်ရှည်ခြင်း။,Addison ၏ရောဂါ၊ အစာအိမ်ကျယ်ခြင်း-volvulus (bloat)၊ တင်ပဆုံရိုးကျခြင်း (hip dysplasia)၊ တိုးတက်သောမျက်စိမှုန်ခြင်း။
dog-006,Dogs,Beagle,မွှေးပျံ့သော ယုန်အမဲလိုက်ခြင်းအတွက် တီထွင်ထားသော အင်္ဂလန်နိုင်ငံသည် ရှေးခေတ်ဂရိနိုင်ငံသို့ အမြစ်ခြေရာခံသည်။,စပ်စုခြင်း၊ ဖော်ရွေခြင်း၊ ရွှင်လန်းပြီး ရနံ့ဖြင့် မောင်းနှင်ခြင်း။ လေ့ကျင့်နေစဉ်မှာ ခေါင်းမာနိုင်ပါတယ်။,အလယ်အလတ်သွန်းလောင်းခြင်းနှင့်အတူတိုတောင်းပြီးသိပ်သည်းသောအင်္ကျီ; အပတ်စဉ် ဖြန်ပေးခြင်း လုံလောက်ပါသည်။,လိင်နှစ်မျိုးလုံးအတွက် 9-11 ကီလိုဂရမ် (20-25 ပေါင်)။,ထူးခြားသောရနံ့ကို ခြေရာခံခြင်း၊ လူများနှင့် ခွေးများနှင့် ပေါင်းသင်းဆက်ဆံနိုင်ခြင်း၊ ကျစ်လစ်သောအရွယ်အစား၊ ဝတ်စားဆင်ယင်မှု နည်းပါးခြင်း။,အဝလွန်ခြင်း၊ hypothyroidism၊ နားပိုးဝင်ခြင်း (နားရှည်ခြင်းကြောင့်)၊ intervertebral disc ရောဂါ၊ ဝက်ရူးပြန်ရောဂါ။
dog-007,Dogs,Siberian Husky,ဆိုက်ဘေးရီးယားအရှေ့မြောက်ပိုင်းတွင် Chukchi လူမျိုးများက စွတ်ဖားခွေးအဖြစ် မွေးမြူကြသည်။,စိတ်အားထက်သန်မှု၊ အမှီအခိုကင်းမှု၊ ဖော်ရွေပြီး ပျံ့လွင့်တတ်သူ။ ပြင်းထန်သော ထိန်းကျောင်းမှုနှင့် လေ့ကျင့်ခန်းများ လိုအပ်သည်။,အထူနှစ်ထပ်အင်္ကျီ၊ လေးလံသောရာသီသွန်းလောင်း; အင်္ကျီမှုတ်နေစဉ်အတွင်း အပတ်စဉ် 2-3 ကြိမ်၊ နေ့စဉ်ဖြီးပါ။,အထီးများ - 20-27 ကီလိုဂရမ် (45-60 ပေါင်); အမျိုးသမီး : 16-23 ကီလိုဂရမ် (35-50 ပေါင်)။,ခံနိုင်ရည်ရှိမှု၊ အအေးဒဏ်ခံနိုင်မှု၊ အစုအပြုံလိုက် ပေါင်းစည်းနိုင်မှု၊ လျှောစီးခြင်း/လုပ်ငန်းဆောင်တာများအတွက် အကျိုးရှိစွာ စွမ်းအင်အသုံးပြုမှု။,တင်ပါးဆုံရိုးချို့ယွင်းခြင်း၊ တိုးတက်မြင်လွှာများလန်ခြင်း၊ အတွင်းတိမ်၊ သိုင်းရွိုက်အားနည်းခြင်း၊ ဇင့်တုံ့ပြန်မှုရှိသောအရေပြားရောဂါ။
dog-008,Dogs,Chihuahua,ရှေးခေတ် Techichi ခွေးမျိုးရိုးရှိသည့် Chihuahua ပြည်နယ်ကို အစွဲပြု၍ မက္ကစီကို။,နိုးကြားမှု၊ သစ္စာရှိမှု၊ တစ်ခါတစ်ရံ စိတ်ဆိုးတတ်ပြီး လူတစ်ဦးနှင့်တစ်ဦး တင်းမာစွာ ချည်နှောင်ထားတတ်သည်။,ချောမွေ့သော သို့မဟုတ် ရှည်လျားသောအင်္ကျီမျိုးကွဲများ; ချောမွေ့သော အပတ်စဉ် ပွတ်တိုက်ရန် လိုအပ်ပြီး အင်္ကျီအရှည် တစ်ပတ်လျှင် 2-3 ကြိမ်။,လိင်နှစ်မျိုးလုံးအတွက် ၁.၅-၃ ကီလိုဂရမ် (၃-၆ ပေါင်)။,တိုက်ခန်းများအတွက် သေးငယ်သော အရွယ်အစား၊ တာရှည်ခံမှု၊ ခိုင်ခံ့သော စောင့်ကြည့်မှု နိုးကြားမှု၊ အစားအစာ/လေ့ကျင့်ခန်း လိုအပ်ချက် နည်းပါးသည်။,Patellar luxation၊ သွားနှင့်ခံတွင်းများစုပုံခြင်း၊ hydrocephalus၊ tracheal ပြိုကျခြင်း၊ အရုပ်အရွယ်အစားရှိ hypoglycemia ။
dog-009,Dogs,Dachshund,၁၇ ရာစုတွင် ဂျာမနီသည် တုတ်ထိုးကောင်များနှင့် အခြားမြေတွင်းတိရစ္ဆာန်များကို အမဲလိုက်ရန် မွေးမြူခဲ့သည်။,ရဲရင့်မှု၊ စူးစမ်းချင်စိတ်၊ ခေါင်းမာပြီး အပျော်သဘော၊ ပြင်းထန်သော သားကောင်မောင်းနှင်မှုဖြင့်။,ချောမွေ့သော၊ ဝါယာကြိုး သို့မဟုတ် ဆံပင်ရှည်မျိုးကွဲများ၊ ချောမွေ့သောစောင့်ရှောက်မှုအနည်းငယ်လိုအပ်သည်၊ ဝါယာကြိုး / ရှည်လျားသောအပတ်စဉ်ဖြီးပေးရန်လိုအပ်သည်။,စံနှုန်း- 7-15 ကီလိုဂရမ် (16-32 ပေါင်); အသေးစား- 5 ကီလိုဂရမ် (11 ပေါင်) အောက်။,ဇွဲနပဲ၊ ခိုင်ခံ့သော မြေတွင်း/အမဲလိုက်ခြင်း ဗီဇ၊ တိုက်ခန်းဘဝနှင့် လိုက်လျောညီထွေရှိမှု၊ ထူးခြားသော သစ္စာစောင့်သိမှု။,ရှည်လျားသောကျောရိုး၊ အဝလွန်ခြင်း၊ patellar luxation၊ တိုးတက်သောမျက်စိမှုန်ခြင်းများကြောင့် intervertebral disc ရောဂါ။
dog-010,Dogs,Border Collie,စကော့တလန်နှင့် အင်္ဂလန်ကြား နယ်နိမိတ်ဒေသတွင် သိုးများကို ထိန်းကျောင်းရန် မွေးမြူထားသည်။,အလွန်ဉာဏ်ရည်ထက်မြက်မှု၊ တက်ကြွမှု၊ အာရုံစူးစိုက်မှု၊ တုံ့ပြန်မှု၊ စဉ်ဆက်မပြတ် စိတ်ပိုင်းဆိုင်ရာ ထိတွေ့ဆက်ဆံမှု လိုအပ်သည်။,အလတ်စား နှစ်ထပ်အင်္ကျီ၊ တစ်ပတ်ကို 2-3 ကြိမ်ဖြီးပါ။,လိင်နှစ်မျိုးလုံးအတွက် ၁၄-၂၀ ကီလိုဂရမ် (၃၀-၄၅ ပေါင်)။,ထိပ်တန်းလေ့ကျင့်နိုင်မှု၊ ထိန်းကျောင်းမှုဗီဇ၊ သွက်လက်တက်ကြွမှု၊ ပြဿနာဖြေရှင်းနိုင်စွမ်း။,Collie မျက်လုံးပုံမမှန်ခြင်း၊ တင်ပါးဆုံရိုးကျခြင်း၊ ဝက်ရူးပြန်ရောဂါ၊ လေ့ကျင့်ခန်းလုပ်ခြင်းကြောင့် အာရုံကြောဆိုင်ရာအပိုင်းများ။
